,Cluster,Biomarker,Relations
186,142,APOE,"[{'article': 'PMC10294511.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': ""Alzheimer's Disease""}, {'article': 'PMC3213220.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Cognitive response to ketosis in Alzheimer's Disease""}, {'article': 'PMC3213220.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC4107377.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC4107377.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Presence: Alzheimer's Disease""}, {'article': 'PMC4107377.txt', 'relationship': 'ASSOCIATED_WITH_PROGNOSIS', 'object': ""Alzheimer's Disease mortality and outcomes""}, {'article': 'PMC4107377.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC4107377.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnosis of Alzheimer's Disease""}, {'article': 'PMC4132648.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC4132648.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC4132648.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': 'Alzheimer’s Disease'}, {'article': 'PMC4132648.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease groups""}, {'article': 'PMC4311425.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC4311425.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Risk of Alzheimer's Disease""}, {'article': 'PMC4481070.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': ""Alzheimer's Disease""}, {'article': 'PMC4617238.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Early-onset Alzheimer's Disease""}, {'article': 'PMC4928349.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC4983010.txt', 'relationship': 'INDICATES_TREATMENT_ELIGIBILITY', 'object': 'Eligibility for PREADVISE study'}, {'article': 'PMC8028241.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': 'Diagnose: Alzheimer’s disease'}, {'article': 'PMC8066440.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease prognosis""}, {'article': 'PMC8201462.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Genetic risk factor for Alzheimer's Disease""}, {'article': 'PMC8201462.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Prognosis of Alzheimer's Disease""}, {'article': 'PMC8302739.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease risk assessment""}, {'article': 'PMC8302739.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Presence: Alzheimer's Disease risk""}, {'article': 'PMC8302739.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Prognosis: Alzheimer's Disease""}, {'article': 'PMC8302739.txt', 'relationship': 'GUIDES_TREATMENT_SELECTION', 'object': ""Treatment Selection: Alzheimer's Disease clinical trials""}, {'article': 'PMC8302739.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC8302739.txt', 'relationship': 'ASSOCIATED_WITH_BETTER_OUTCOME', 'object': ""Improved prediction accuracy for Alzheimer's Disease diagnosis""}, {'article': 'PMC8302739.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease""}, {'article': 'PMC8302739.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease""}, {'article': 'PMC8302739.txt', 'relationship': 'GUIDES_TREATMENT_SELECTION', 'object': ""Alzheimer's Disease""}, {'article': 'PMC8507171.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC8507171.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Identify individuals at higher risk of developing Alzheimer's Disease or dementia""}, {'article': 'PMC8507171.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Risk of Alzheimer's Disease""}, {'article': 'PMC8843023.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC8857690.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC8857690.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC4876682.txt', 'relationship': 'DIAGNOSTIC_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC4876682.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Alzheimer’s Disease'}, {'article': 'PMC5067903.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease""}, {'article': 'PMC5496518.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': ""Alzheimer's Disease""}, {'article': 'PMC5668981.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Early-onset Alzheimer's Disease""}, {'article': 'PMC6374283.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnosis of Alzheimer's Disease""}, {'article': 'PMC6374283.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Presence of Alzheimer's Disease""}, {'article': 'PMC6547570.txt', 'relationship': 'ASSOCIATED_WITH', 'object': ""Cortical morphometry changes in SCD related to Alzheimer's Disease""}, {'article': 'PMC6593891.txt', 'relationship': 'ASSOCIATED_WITH', 'object': 'Higher abundance of Firmicutes and Clostridiales in APOE2/E3 genotype'}, {'article': 'PMC6593891.txt', 'relationship': 'ASSOCIATED_WITH', 'object': 'Lower abundance of Prevotellaceae in APOE2/E3 genotype compared to other APOE genotypes'}, {'article': 'PMC6593891.txt', 'relationship': 'ASSOCIATED_WITH', 'object': 'Higher abundance of Ruminococcaceae in APOE2/E3 compared to APOE3/E3, APOE3/E4, or apoe4/E4'}, {'article': 'PMC6593891.txt', 'relationship': 'ASSOCIATED_WITH', 'object': 'Higher abundance of Gemmiger in APOE2/E3 compared to APOE3/E3 and APOE3/E4'}, {'article': 'PMC6593891.txt', 'relationship': 'ASSOCIATED_WITH', 'object': 'Higher abundance of Roseburia in APOE3/E3 compared to other APOE genotypes'}, {'article': 'PMC6879435.txt', 'relationship': 'ASSOCIATED_WITH', 'object': ""Alzheimer's Disease""}, {'article': 'PMC6879435.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease""}, {'article': 'PMC6879435.txt', 'relationship': 'ASSOCIATED_WITH', 'object': ""Disease-Associated Microglia (DAM) phenotype in Alzheimer's Disease""}, {'article': 'PMC6916654.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC6945608.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC7274941.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC7389451.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC7389451.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Presence: Alzheimer's Disease""}, {'article': 'PMC7424995.txt', 'relationship': 'IS_TARGET_OF_TREATMENT', 'object': ""Alzheimer's Disease""}, {'article': 'PMC7648990.txt', 'relationship': 'ASSOCIATED_WITH', 'object': ""Alzheimer's Disease""}, {'article': 'PMC7698404.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC7822120.txt', 'relationship': 'DIAGNOSTIC_OF', 'object': ""Late-onset Alzheimer's Disease (LOAD)""}, {'article': 'PMC7822120.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC7822120.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC7822120.txt', 'relationship': 'DIAGNOSTIC_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC9644639.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease progression""}, {'article': 'PMC9644639.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Tauopathies and Alzheimer's Disease""}, {'article': 'PMC9644639.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'AD pathology'}, {'article': 'PMC9644639.txt', 'relationship': 'ASSOCIATED_WITH', 'object': 'PSD95 levels in superior temporal cortex in AD'}, {'article': 'PMC9644639.txt', 'relationship': 'ASSOCIATED_WITH', 'object': 'LDL cholesterol levels'}, {'article': 'PMC9644639.txt', 'relationship': 'ASSOCIATED_WITH', 'object': 'GlycA, isoleucine, LDL-TG, VLDL-TG, and M-VLDL'}, {'article': 'PMC9644639.txt', 'relationship': 'ASSOCIATED_WITH', 'object': 'CRP, ApoB, IL-13, and CXCL9 levels'}, {'article': 'PMC9644639.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC9644639.txt', 'relationship': 'IS_TARGET_OF_TREATMENT', 'object': ""Target for therapeutic interventions in Alzheimer's Disease""}]"
187,142,APOE e4,"[{'article': 'PMC7364345.txt', 'relationship': 'ASSOCIATED_WITH', 'object': ""Alzheimer's Disease""}, {'article': 'PMC7808620.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease""}, {'article': 'PMC7808620.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Higher genetic risk for Alzheimer's Disease""}, {'article': 'PMC7808620.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease""}]"
467,142,ApoE,"[{'article': 'PMC11274940.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': ""Alzheimer's Disease""}, {'article': 'PMC3764973.txt', 'relationship': 'RELATED_TREATMENT', 'object': ""Alzheimer's Disease treatment response""}, {'article': 'PMC4003513.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Early-onset Alzheimer's Disease""}, {'article': 'PMC4366075.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC4366075.txt', 'relationship': 'ASSOCIATED_WITH_PROGNOSIS', 'object': ""Alzheimer's Disease""}, {'article': 'PMC4568340.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease""}, {'article': 'PMC4615808.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC8043748.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': ""Alzheimer's Disease progression""}, {'article': 'PMC8043748.txt', 'relationship': 'ASSOCIATED_WITH', 'object': ""Increased Aβ plaque deposition in Alzheimer's Disease""}, {'article': 'PMC8043748.txt', 'relationship': 'ASSOCIATED_WITH', 'object': 'Microglial-mediated Aβ deposition in early stages of amyloidogenesis'}, {'article': 'PMC8043748.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Aβ plaques'}, {'article': 'PMC8043748.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': ""Alzheimer's Disease""}, {'article': 'PMC8043748.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': ""Alzheimer's Disease""}, {'article': 'PMC8043748.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease""}, {'article': 'PMC8043748.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Aβ plaque deposition in Alzheimer's Disease""}, {'article': 'PMC8043748.txt', 'relationship': 'PREDICTS_AD_PROGRESSION', 'object': 'ApoE expression levels predict AD progression'}, {'article': 'PMC8088704.txt', 'relationship': 'ASSOCIATED_WITH', 'object': 'Brain amyloidosis'}, {'article': 'PMC8088704.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': ""Alzheimer's Disease Outcome""}, {'article': 'PMC8088704.txt', 'relationship': 'GUIDES_TREATMENT_SELECTION', 'object': ""Treatment Selection for Alzheimer's Disease""}, {'article': 'PMC8088704.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC6126036.txt', 'relationship': 'ASSOCIATED_WITH_PROGNOSIS', 'object': ""Alzheimer's Disease prognosis""}, {'article': 'PMC7389451.txt', 'relationship': 'ASSOCIATED_WITH', 'object': ""Associated with: Alzheimer's Disease""}, {'article': 'PMC7389451.txt', 'relationship': 'ASSOCIATED_WITH_BETTER_OUTCOME', 'object': 'Aβ detection and clearance'}, {'article': 'PMC7389451.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC7389451.txt', 'relationship': 'ASSOCIATED_WITH_PROGNOSIS', 'object': ""Alzheimer's Disease progression""}, {'article': 'PMC7648990.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease""}, {'article': 'PMC9635167.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Prodromal Alzheimer's Disease""}]"
193,142,APOE ε2,"[{'article': 'PMC6439956.txt', 'relationship': 'ASSOCIATED_WITH_BETTER_OUTCOME', 'object': 'Shows protective influence on dementia risk'}]"
472,142,ApoE ε4,"[{'article': 'PMC4866415.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC4866415.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC4866415.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC4866415.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': 'Diagnosis: Carrier status for ApoE ε4 allele'}, {'article': 'PMC4866415.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Presence: Increased risk of Alzheimer's Disease""}, {'article': 'PMC4866415.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Prognosis: Alzheimer's Disease""}, {'article': 'PMC4866415.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC4918115.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease prognosis in carriers vs. noncarriers""}, {'article': 'PMC4918115.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': 'Lack of clinical efficacy in treatment response'}, {'article': 'PMC4918115.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Prognosis: Lower MMSE scores and longer duration of Alzheimer's Disease""}, {'article': 'PMC4918115.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC4918115.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC4918115.txt', 'relationship': 'INDICATES_TREATMENT_ELIGIBILITY', 'object': 'Bapineuzumab treatment response'}, {'article': 'PMC6353871.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC6353871.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': 'Presence of dementia'}, {'article': 'PMC6353871.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Risk factor for Alzheimer's Disease""}, {'article': 'PMC6353871.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease-related dementia""}, {'article': 'PMC6879435.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': ""Outcome: Increased risk of Alzheimer's Disease progression""}, {'article': 'PMC6920432.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Mild Cognitive Impairment (MCI)'}, {'article': 'PMC6920432.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Mild Cognitive Impairment'}, {'article': 'PMC6920432.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC7354597.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC7354597.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': ""Increased risk of conversion to Alzheimer's Disease""}, {'article': 'PMC7354597.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC7354597.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Conversion to Alzheimer's Disease""}, {'article': 'PMC7354597.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Early-onset Alzheimer's Disease""}, {'article': 'PMC7354597.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': ""Higher rate of conversion to Alzheimer's Disease""}, {'article': 'PMC7354597.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': ""Progression to Alzheimer's Disease""}, {'article': 'PMC7354597.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease progression in dyslipidemic patients""}, {'article': 'PMC7354597.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': 'Higher proportion of progression to AD'}, {'article': 'PMC7354597.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC7354597.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': ""Alzheimer's Disease""}, {'article': 'PMC7830228.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': ""Alzheimer's Disease""}, {'article': 'PMC7830228.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}]"
471,142,ApoE status,"[{'article': 'PMC6201586.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': ""Alzheimer's Disease""}]"
1285,143,DMS48,"[{'article': 'PMC4200223.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Visual recognition memory deficits in Alzheimer's Disease""}]"
1290,143,DPs,"[{'article': 'PMC5144753.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}]"
1282,143,DMN,"[{'article': 'PMC8287201.txt', 'relationship': 'GUIDES_TREATMENT_SELECTION', 'object': ""Alzheimer's Disease""}]"
1304,143,DYRK1A kinase activity,"[{'article': 'PMC4675859.txt', 'relationship': 'ASSOCIATED_WITH', 'object': 'Neurocognitive symptoms and neurodegenerative phenotypes in Down syndrome'}]"
1303,143,DYRK1A,"[{'article': 'PMC4675859.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease prognostic model""}, {'article': 'PMC4675859.txt', 'relationship': 'MODULATES', 'object': ""Alzheimer's Disease""}]"
1372,143,Dkk1,"[{'article': 'PMC6145937.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': 'Aβ synaptotoxicity'}, {'article': 'PMC6145937.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': 'Increased Aβ production and synapse loss'}, {'article': 'PMC6145937.txt', 'relationship': 'RELATED_TREATMENT', 'object': ""Alzheimer's Disease""}]"
1253,143,D54D2,"[{'article': 'PMC10917684.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Amyloid presence in Alzheimer's Disease""}]"
177,144,AN1792,"[{'article': 'PMC6916654.txt', 'relationship': 'RELATED_TREATMENT', 'object': 'Active immunotherapy targeting Aβ'}]"
92,144,A673T,"[{'article': 'PMC4304279.txt', 'relationship': 'ASSOCIATED_WITH_BETTER_OUTCOME', 'object': ""Alzheimer's Disease""}]"
1966,144,IDE rs2251101,"[{'article': 'PMC3213220.txt', 'relationship': 'GUIDES_TREATMENT_SELECTION', 'object': ""Treatment selection for Alzheimer's Disease""}, {'article': 'PMC3213220.txt', 'relationship': 'MONITORED_DURING_TREATMENT', 'object': ""Cognitive improvement in Alzheimer's Disease""}]"
839,144,CAB101,"[{'article': 'PMC6357742.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Presence: Alzheimer's Disease""}]"
841,144,CAD106,"[{'article': 'PMC5516350.txt', 'relationship': 'RELATED_TREATMENT', 'object': 'Phase II/III clinical trials in cognitively unimpaired individuals with 2 apoe4 genes'}, {'article': 'PMC6916654.txt', 'relationship': 'RELATED_TREATMENT', 'object': 'Active immunotherapy targeting Aβ'}]"
673,144,BAN2401,"[{'article': 'PMC4054967.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Early Alzheimer's Disease""}, {'article': 'PMC4054967.txt', 'relationship': 'LEVELS_REFLECT_RESPONSE', 'object': 'Disease progression and drug effects'}, {'article': 'PMC4054967.txt', 'relationship': 'IS_TARGET_OF_TREATMENT', 'object': 'Amyloid-beta species'}, {'article': 'PMC4822297.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Increased plasma Aβ(1-40)'}, {'article': 'PMC5516350.txt', 'relationship': 'RELATED_TREATMENT', 'object': 'Phase II trial in early AD'}]"
840,144,CAB102,"[{'article': 'PMC6357742.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Presence: Alzheimer's Disease""}]"
3655,144,UE2343,"[{'article': 'PMC5301048.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Brain 11β-HSD1 inhibition and cognitive enhancement in Alzheimer's Disease""}]"
1441,144,EVP-0962,"[{'article': 'PMC5516350.txt', 'relationship': 'RELATED_TREATMENT', 'object': 'Discontinued in Phase II clinical trials'}]"
2496,144,NAP226-90,"[{'article': 'PMC5075013.txt', 'relationship': 'LEVELS_REFLECT_RESPONSE', 'object': 'Response: Steady-state plasma concentrations in patients with Alzheimer’s disease'}, {'article': 'PMC5075013.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Presence: Rivastigmine metabolism'}, {'article': 'PMC5075013.txt', 'relationship': 'GUIDES_TREATMENT_SELECTION', 'object': 'Dosing in patients with renal impairment'}, {'article': 'PMC5075013.txt', 'relationship': 'RELATED_TREATMENT', 'object': 'No dose adjustment required in patients with renal impairment'}]"
4472,144,rs2143466,"[{'article': 'PMC6158742.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Age of onset in Alzheimer's Disease""}]"
3374,144,T3D-959,"[{'article': 'PMC4979550.txt', 'relationship': 'RELATED_TREATMENT', 'object': ""Therapeutic effects in experimental Alzheimer's Disease models""}, {'article': 'PMC4979550.txt', 'relationship': 'GUIDES_TREATMENT_SELECTION', 'object': ""Efficacy in preserving spatial learning and memory in Alzheimer's Disease models""}]"
1392,144,E2609,"[{'article': 'PMC5516350.txt', 'relationship': 'RELATED_TREATMENT', 'object': ""Phase III clinical trials for Alzheimer's Disease""}]"
2523,144,NNI-362,"[{'article': 'PMC7805132.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Early-onset Alzheimer's Disease""}, {'article': 'PMC7805132.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Neurogenesis and improved memory function in aging mice'}]"
2378,145,Mediterranean diet,"[{'article': 'PMC9755275.txt', 'relationship': 'RELATED_TREATMENT', 'object': ""Alzheimer's Disease""}]"
1785,145,Glycemic control,"[{'article': 'PMC6208946.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]"
2377,145,Mediterranean Diet Adherence,"[{'article': 'PMC10542675.txt', 'relationship': 'ASSOCIATED_WITH_BETTER_OUTCOME', 'object': ""Adherence to Mediterranean diet lowers Alzheimer's Disease risk""}]"
1878,145,High glycemic diet,"[{'article': 'PMC8502814.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Amyloid accumulation in the precuneus, lateral temporal lobe, and posterior cingulate gyrus in preclinical Alzheimer's Disease""}]"
2624,145,Nutrition,"[{'article': 'PMC7413274.txt', 'relationship': 'MONITORED_DURING_TREATMENT', 'object': ""Alzheimer's Disease""}]"
4093,145,dietary changes,"[{'article': 'PMC9755275.txt', 'relationship': 'GUIDES_TREATMENT_SELECTION', 'object': 'cognition'}]"
1343,145,Diet (MIND diet),"[{'article': 'PMC8857690.txt', 'relationship': 'ASSOCIATED_WITH_BETTER_OUTCOME', 'object': ""Reduced risk of Alzheimer's Disease""}]"
181,146,ANU-ADRI risk,"[{'article': 'PMC8857690.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease risk""}]"
182,146,ANU-ADRI total,"[{'article': 'PMC8857690.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease risk""}]"
3883,146,aducanumab,"[{'article': 'PMC6916654.txt', 'relationship': 'RELATED_TREATMENT', 'object': 'Monoclonal antibody targeting Aβ'}, {'article': 'PMC9755275.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Early stages of Alzheimer's Disease""}]"
317,146,Aducanumab,"[{'article': 'PMC4888851.txt', 'relationship': 'MONITORED_DURING_TREATMENT', 'object': ""Alzheimer's Disease""}, {'article': 'PMC5516350.txt', 'relationship': 'RELATED_TREATMENT', 'object': 'Phase III trials in early AD'}, {'article': 'PMC7424995.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}]"
2961,147,Protein carbonyl content,"[{'article': 'PMC4981900.txt', 'relationship': 'LEVELS_REFLECT_RESPONSE', 'object': ""Assess: Safety and efficacy of EMF treatment in Alzheimer's Disease""}]"
2962,147,Protein carbonyls,"[{'article': 'PMC9527145.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Oxidative stress in Alzheimer's Disease""}]"
3595,147,Total protein,"[{'article': 'PMC4659639.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]"
1112,147,Chitinase-3-like protein 1 (CHI3L1 or YKL-40),"[{'article': 'PMC6182869.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]"
2960,147,Protein carbonyl,"[{'article': 'PMC9527145.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]"
3094,147,Ribosomal proteins,"[{'article': 'PMC2432467.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Cellular stress response'}]"
3876,147,abnormal protein deposition,"[{'article': 'PMC3389343.txt', 'relationship': 'DIAGNOSTIC_OF', 'object': ""Alzheimer's Disease""}]"
694,148,BEC 96 Total,"[{'article': 'PMC7928298.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Cognitive impairment in Alzheimer's Disease""}]"
833,148,C9orf72,"[{'article': 'PMC6158742.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease""}]"
832,148,C9ORF72,"[{'article': 'PMC6110931.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': 'Linked to primary progressive aphasia (PPA) variants'}]"
831,148,"C99, C89, and C83","[{'article': 'PMC2880593.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]"
