,Biomarker,Relations,Cluster
1709,GSSH,"[{'article': 'PMC4981900.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""No oxidative stress in Alzheimer's Disease""}]",226
1710,GV1001,"[{'article': 'PMC7995588.txt', 'relationship': 'IS_TARGET_OF_TREATMENT', 'object': ""Alzheimer's Disease""}]",108
1711,Gad67,"[{'article': 'PMC6357742.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': ""Loss of hippocampal GABAergic interneurons in Alzheimer's Disease""}, {'article': 'PMC6357742.txt', 'relationship': 'LEVELS_REFLECT_RESPONSE', 'object': 'Treatment with Kgp inhibitor COR271'}, {'article': 'PMC6357742.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Prognosis of: Hippocampal interneuron health in Alzheimer's Disease""}]",32
1712,Gait,"[{'article': 'PMC10363100.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC10363100.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC10363100.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease and Mild Cognitive Impairment""}, {'article': 'PMC4197903.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease""}, {'article': 'PMC9203627.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Early-onset Alzheimer's Disease""}]",159
1713,Gait Speed,"[{'article': 'PMC8564955.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': 'Predictive of decline in activities of daily living (ADL) and instrumental ADL'}, {'article': 'PMC8564955.txt', 'relationship': 'LEVELS_REFLECT_RESPONSE', 'object': 'Improvement with exercise reflects response to treatment'}]",703
1714,Gait Velocity,"[{'article': 'PMC6565843.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]",703
1715,Gait characteristics,"[{'article': 'PMC6565843.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease""}]",159
1716,Gait speed,"[{'article': 'PMC4406069.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC6565843.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': 'Higher global white matter hyperintensity volume'}, {'article': 'PMC6565843.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': 'Reduced total grey matter volume'}, {'article': 'PMC6565843.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Reduced metabolic rates of glucose uptake in the prefrontal, posterior cingulate, and parietal cortices'}, {'article': 'PMC6565843.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Higher burden of white matter hyperintensities'}, {'article': 'PMC7288029.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Cognitive decline in older adults'}]",703
1717,"Gait variables (velocity, variability, frequency)","[{'article': 'PMC4406069.txt', 'relationship': 'PREDICTS_PRESENCE_OF', 'object': ""Dementia due to Alzheimer's Disease""}]",159
1718,Gait velocity,"[{'article': 'PMC4197903.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Presence: Alzheimer's Disease""}, {'article': 'PMC6565843.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': 'More severe global age-related white matter changes'}, {'article': 'PMC6565843.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Increased mean diffusivity in brainstem, projection, association, limbic and callosal tracts'}, {'article': 'PMC6565843.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC7392684.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}]",703
1719,Gait-speed,"[{'article': 'PMC4406069.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Presence: Gait abnormalities in Alzheimer's Disease""}]",703
1720,Gal-1,"[{'article': 'PMC4908397.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Neurogenesis and neural stem cell self-renewal'}]",620
1721,Galactin-3,"[{'article': 'PMC8439008.txt', 'relationship': 'MONITORED_DURING_TREATMENT', 'object': 'hUCB-MSC treatment'}]",632
1722,Galantamine,"[{'article': 'PMC3407718.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease treatment""}]",632
1723,Galectin-1 (Gal-1),"[{'article': 'PMC4908397.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Neuroregulatory molecules in dynamic hBM-MSCs secretome'}]",632
1724,Galectin-3,"[{'article': 'PMC8439008.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': 'Protection against Aβ neurotoxicity'}]",632
1725,Gallagher index,"[{'article': 'PMC4675859.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC4675859.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Learning and memory deficits in Alzheimer's Disease""}, {'article': 'PMC4675859.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': 'Poor reference memory in Ts65Dn mice'}, {'article': 'PMC4675859.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Cognitive flexibility impairments in Alzheimer's Disease""}, {'article': 'PMC4675859.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]",131
1726,Gallic Acid,"[{'article': 'PMC4857621.txt', 'relationship': 'USED_TO_TREAT', 'object': ""Alzheimer's Disease""}]",34
1727,Gallic acid,"[{'article': 'PMC4857621.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}]",34
1728,Gamified cognitive tasks,"[{'article': 'PMC8281974.txt', 'relationship': 'GUIDES_TREATMENT_SELECTION', 'object': ""Treatment of Alzheimer's Disease""}]",104
1729,Gamma oscillations,"[{'article': 'PMC3682121.txt', 'relationship': 'ASSOCIATED_WITH_BETTER_OUTCOME', 'object': 'Outcome: Improved tactile sensations'}, {'article': 'PMC6130053.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Local network activity and learning and memory processes'}, {'article': 'PMC9539040.txt', 'relationship': 'LEVELS_REFLECT_RESPONSE', 'object': ""Improvement in cognitive function in Alzheimer's Disease patients""}]",9
1730,Gamma sensory stimulation therapy effect on sleep,"[{'article': 'PMC8500065.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Therapeutic response in mild to moderate Alzheimer's Disease""}]",310
1731,Gamma spectral power,"[{'article': 'PMC8690894.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]",9
1732,Gamma-Glutamyl Transferase (GGT),"[{'article': 'PMC4487699.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}]",321
1733,Gantenerumab,"[{'article': 'PMC5516350.txt', 'relationship': 'RELATED_TREATMENT', 'object': 'Phase III clinical trials in mild AD'}]",33
1734,Gap duration,"[{'article': 'PMC8110716.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]",168
1735,Gaze direction,"[{'article': 'PMC8316394.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Social engagement in patients with dementia'}]",208
1736,Gbp2,"[{'article': 'PMC8581408.txt', 'relationship': 'ASSOCIATED_WITH_PROGNOSIS', 'object': ""Alzheimer's Disease""}]",642
1737,Gbp6,"[{'article': 'PMC8581408.txt', 'relationship': 'ASSOCIATED_WITH_PROGNOSIS', 'object': ""Alzheimer's Disease""}]",642
1738,Gcerebral,"[{'article': 'PMC9108275.txt', 'relationship': 'ASSOCIATED_WITH_BETTER_OUTCOME', 'object': ""Alzheimer's Disease""}]",541
1739,Gcerebral spinal fluid,"[{'article': 'PMC9108275.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Cognitive impairment in Alzheimer's Disease""}, {'article': 'PMC9108275.txt', 'relationship': 'MONITORED_DURING_TREATMENT', 'object': ""Treatment response in Alzheimer's Disease""}, {'article': 'PMC9108275.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': ""Poor cognitive performance in Alzheimer's Disease""}, {'article': 'PMC9108275.txt', 'relationship': 'RESPONDED_TO', 'object': 'Transcranial Electromagnetic Treatment (TEMT)'}]",541
1740,Gd-DOTA concentration,"[{'article': 'PMC8905724.txt', 'relationship': 'MONITORED_DURING_TREATMENT', 'object': 'Monitoring: Blood-brain barrier disruption efficacy'}]",3
1741,Gene expression profiles,"[{'article': 'PMC7884393.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Early-stage Alzheimer's Disease""}, {'article': 'PMC7884393.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Intermediate-stage Alzheimer's Disease""}, {'article': 'PMC7884393.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Late-stage Alzheimer's Disease""}]",638
1742,Generalized Anxiety Disorder (GAD-7),"[{'article': 'PMC4066282.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease Prognosis""}]",270
1743,Generalized low uptake on SPECT/PET perfusion/metabolism scan,"[{'article': 'PMC5496518.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': 'Diagnose: Dementia with Lewy bodies (DLB)'}]",27
1744,"Genes (complement receptor 1, CD33, TREM2)","[{'article': 'PMC6530014.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease""}]",392
1745,Genetic Data,"[{'article': 'PMC10363100.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Indicates Presence: Increased Risk of Alzheimer's Disease""}]",453
1746,Genetic data,"[{'article': 'PMC10363100.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}]",453
1747,Genetic factors,"[{'article': 'PMC4150993.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': ""Alzheimer's Disease prognosis""}]",453
1748,Genetic status,"[{'article': 'PMC4511231.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnosis of Alzheimer's Disease""}, {'article': 'PMC4511231.txt', 'relationship': 'INDICATES_TREATMENT_ELIGIBILITY', 'object': 'Eligibility for clinical trials'}]",453
1749,Geriatric Depression Scale,"[{'article': 'PMC2949590.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Depression in Alzheimer's Disease""}, {'article': 'PMC8518196.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Assess health outcomes in Alzheimer's Disease""}, {'article': 'PMC5619332.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Depressive symptoms in Alzheimer's Disease patients""}, {'article': 'PMC6521224.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Presence of: Depression in Alzheimer's patients""}]",611
1750,Geriatric Depression Scale (GDS),"[{'article': 'PMC7001626.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Presence: Depressive symptoms in Alzheimer's Disease patients""}, {'article': 'PMC9246122.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Presence: Depressive symptoms in Alzheimer's Disease""}]",611
1751,Ghrelin,"[{'article': 'PMC5445077.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Prognosis: Alzheimer's Disease""}, {'article': 'PMC5445077.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Neuroprotection in Alzheimer's Disease""}]",68
1752,Giant Component Size,"[{'article': 'PMC8795741.txt', 'relationship': 'LEVELS_REFLECT_RESPONSE', 'object': ""Alzheimer's Disease""}]",456
1753,Giant component size,"[{'article': 'PMC8795741.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Increased size of the giant component in brain networks'}]",456
1754,Gingipains,"[{'article': 'PMC6357742.txt', 'relationship': 'ASSOCIATED_WITH', 'object': ""Tau and ubiquitin pathology in Alzheimer's Disease""}, {'article': 'PMC6357742.txt', 'relationship': 'ASSOCIATED_WITH', 'object': 'Neurotoxic effects on tau'}, {'article': 'PMC6357742.txt', 'relationship': 'IS_TARGET_OF_TREATMENT', 'object': 'Small-molecule inhibitors reduce bacterial load and Aβ1–42 production'}]",587
1755,Gingko biloba,"[{'article': 'PMC4202787.txt', 'relationship': 'RELATED_TREATMENT', 'object': ""Alzheimer's Disease treatment""}]",587
1756,Ginsenoside Rb1,"[{'article': 'PMC4857621.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}]",587
1757,Ginsenosides,"[{'article': 'PMC4857621.txt', 'relationship': 'USED_TO_TREAT', 'object': ""Alzheimer's Disease""}]",587
1758,Glia-derived nexin (GDN),"[{'article': 'PMC4908397.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Neuroregulatory molecules in dynamic hBM-MSCs secretome'}]",13
1759,Glial activation biomarkers,"[{'article': 'PMC6966425.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Prognosis: Alzheimer's Disease""}]",13
1760,Glial fibrillary acidic protein (GFAP),"[{'article': 'PMC4936020.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC9373273.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]",13
1761,Global Deterioration Scale (GDS) score,"[{'article': 'PMC6794759.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Severity of dementia in Alzheimer's Disease""}]",3
1762,Global Efficiency (GE),"[{'article': 'PMC8760674.txt', 'relationship': 'LEVELS_REFLECT_RESPONSE', 'object': 'Response: Increased GE in sensorimotor network after TPS stimulation'}]",565
1763,Global Microbleed and Infarct Presence,"[{'article': 'PMC6565843.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]",404
1764,Global cognition,"[{'article': 'PMC5016950.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease progression""}]",104
1765,Global cognitive score,"[{'article': 'PMC8966264.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': 'Diagnose: Conversion to AD dementia'}]",41
1766,Global efficiency,"[{'article': 'PMC8760674.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC8795741.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Improved brain network efficiency'}]",565
1767,GluR1,"[{'article': 'PMC3362564.txt', 'relationship': 'ASSOCIATED_WITH_BETTER_OUTCOME', 'object': 'Increased membrane levels in XPro1595-treated rats'}, {'article': 'PMC3362564.txt', 'relationship': 'ASSOCIATED_WITH_BETTER_OUTCOME', 'object': ""Improved synaptic function in Alzheimer's Disease""}]",68
1768,Glucocorticoid Production,"[{'article': 'PMC6520689.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]",606
1769,Glucose,"[{'article': 'PMC4615808.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease""}, {'article': 'PMC4922661.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Presence: Metabolic changes in Alzheimer's Disease""}, {'article': 'PMC8470960.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Lower levels of glucose during fasting lead to autophagy in Alzheimer's Disease""}, {'article': 'PMC8857690.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC7274941.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': ""Alzheimer's Disease""}, {'article': 'PMC9246122.txt', 'relationship': 'ASSOCIATED_WITH_BETTER_OUTCOME', 'object': ""Alzheimer's Disease""}]",586
1770,Glucose metabolism,"[{'article': 'PMC3460756.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC3460756.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC8028241.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease""}, {'article': 'PMC8905724.txt', 'relationship': 'LEVELS_REFLECT_RESPONSE', 'object': ""Response to treatment in Alzheimer's Disease""}, {'article': 'PMC5026133.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease progression""}, {'article': 'PMC5026133.txt', 'relationship': 'MONITORED_DURING_TREATMENT', 'object': 'Monitor: Deep brain stimulation (DBS) effects on brain regions affected by AD'}, {'article': 'PMC5026133.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': 'Prognosis: Patients ≥65 years showed increased metabolism with DBS'}, {'article': 'PMC5026133.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': 'Outcome: Younger patients (<65 years) showed decreased metabolism and greater cognitive decline'}, {'article': 'PMC5026133.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': 'Increased glucose metabolism at 6 months in temporal and parietal regions'}, {'article': 'PMC5026133.txt', 'relationship': 'LEVELS_REFLECT_RESPONSE', 'object': 'Response to DBS-f treatment'}, {'article': 'PMC5342482.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': ""Alzheimer's Disease""}, {'article': 'PMC6615169.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Subjective Cognitive Decline (SCD) related to Alzheimer's Disease""}, {'article': 'PMC9011335.txt', 'relationship': 'LEVELS_REFLECT_RESPONSE', 'object': 'Fornix stimulation'}]",586
1771,Glucose metabolism (FDG-PET),"[{'article': 'PMC5342482.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': ""Alzheimer's Disease progression""}]",357
1772,Glucose metabolism levels,"[{'article': 'PMC9011335.txt', 'relationship': 'LEVELS_REFLECT_RESPONSE', 'object': 'Response to Deep Brain Stimulation treatment'}]",586
1773,Glucose metabolism rates,"[{'article': 'PMC8470960.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease""}]",586
1774,Glucose uptake,"[{'article': 'PMC3467226.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}]",586
1775,Glutamate,"[{'article': 'PMC10001958.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': 'Outcome: Neuronal death and AD pathogenesis'}, {'article': 'PMC3835777.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': ""Alzheimer's Disease""}, {'article': 'PMC4694064.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Decreased brain glutamate levels in Alzheimer's Disease""}, {'article': 'PMC4847010.txt', 'relationship': 'LEVELS_REFLECT_RESPONSE', 'object': ""Neuroprotection in Alzheimer's Disease""}, {'article': 'PMC4847010.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Presence: Alzheimer's Disease""}, {'article': 'PMC6015016.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC7551340.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease through excitotoxicity and neuronal damage""}]",321
1776,Glutamine,"[{'article': 'PMC4847010.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Presence: Alzheimer's Disease""}]",321
1777,Glutamine synthetase,"[{'article': 'PMC9527145.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Reduced levels in AD brains'}]",321
1778,Glutamine synthetase (GS),"[{'article': 'PMC7831739.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]",321
1779,Glutathione,"[{'article': 'PMC6921051.txt', 'relationship': 'ASSOCIATED_WITH_BETTER_OUTCOME', 'object': ""Alzheimer's Disease""}, {'article': 'PMC9321013.txt', 'relationship': 'LEVELS_REFLECT_RESPONSE', 'object': 'Recovered basal content in the presence of oleanolic acid and combined biomolecules'}, {'article': 'PMC9321013.txt', 'relationship': 'LEVELS_REFLECT_RESPONSE', 'object': ""Response to treatment in Alzheimer's Disease""}]",205
1780,Glutathione (GSH),"[{'article': 'PMC6104449.txt', 'relationship': 'LEVELS_REFLECT_RESPONSE', 'object': ""Response to probiotic treatment in Alzheimer's Disease patients""}]",205
1781,Glutathione peroxidase (GSH-Px),"[{'article': 'PMC4659639.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Oxidative stress in Alzheimer's Disease""}]",205
1782,Glutathione peroxidase activity,"[{'article': 'PMC4981900.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""No oxidative stress in Alzheimer's Disease""}]",205
1783,Glx,"[{'article': 'PMC9212787.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC9212787.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}]",432
1784,GlyRS functioning,"[{'article': 'PMC9213384.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Anxiety in Alzheimer's Disease""}]",165
1785,Glycemic control,"[{'article': 'PMC6208946.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]",145
1786,Glymphatic Exchange,"[{'article': 'PMC10917684.txt', 'relationship': 'ASSOCIATED_WITH_BETTER_OUTCOME', 'object': ""Alzheimer's Disease prognosis""}]",165
1787,Gpb3,"[{'article': 'PMC8581408.txt', 'relationship': 'ASSOCIATED_WITH_PROGNOSIS', 'object': ""Alzheimer's Disease""}]",432
1788,Gpnmb,"[{'article': 'PMC11274940.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': ""Alzheimer's Disease""}]",432
1789,Granule cell layer cellularity,"[{'article': 'PMC4979550.txt', 'relationship': 'RESPONDED_TO', 'object': 'Restored by T3D-959 treatment'}]",125
1790,Granule cell layer thickness,"[{'article': 'PMC4979550.txt', 'relationship': 'RESPONDED_TO', 'object': 'Partially restored by T3D-959 treatment'}]",125
1791,Granulocytes,"[{'article': 'PMC8258160.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': 'Increased risk for developing all-cause dementia'}]",125
1792,Granulocytes-to-lymphocytes ratio,"[{'article': 'PMC8258160.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': 'Increased risk for developing all-cause dementia'}]",125
1793,Granulovacuolar degeneration,"[{'article': 'PMC6679484.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': ""Outcome: Alzheimer's Disease""}]",125
1794,Graph theory-based brain network changes,"[{'article': 'PMC4846650.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': 'Pre-AD'}]",82
1795,Gray Matter (GM) volume,"[{'article': 'PMC3675142.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Mild Cognitive Impairment and Alzheimer's Disease""}]",350
1796,Gray Matter Volume,"[{'article': 'PMC3675142.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnosis: Mild Cognitive Impairment and Alzheimer's Disease""}]",350
1797,Gray Matter Volume (GMV),"[{'article': 'PMC7814451.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease""}]",350
1798,Gray matter volume,"[{'article': 'PMC8789895.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC5348543.txt', 'relationship': 'ASSOCIATED_WITH_BETTER_OUTCOME', 'object': 'Brain health in dancers'}]",350
1799,Grey Matter Density,"[{'article': 'PMC2764863.txt', 'relationship': 'PREDICTS_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]",350
1800,Grey Matter Density in Hippocampus,"[{'article': 'PMC2764863.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}]",634
1801,Grey Matter Density in Temporal Lobe,"[{'article': 'PMC2764863.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}]",634
1802,Grey Matter Volume,"[{'article': 'PMC6565843.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease""}]",350
1803,Grey matter atrophy,"[{'article': 'PMC6565843.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': 'Poor gait performance'}]",23
1804,Grey matter density in medial temporal lobe,"[{'article': 'PMC2764863.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Prognosis: Alzheimer's Disease""}]",634
1805,Grey matter volume,"[{'article': 'PMC8760674.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease""}, {'article': 'PMC4506984.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC6565843.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Indicates presence of Alzheimer's Disease""}, {'article': 'PMC6615169.txt', 'relationship': 'ASSOCIATED_WITH', 'object': 'Lower grey matter volume in SCD-community'}, {'article': 'PMC6615169.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Subjective Cognitive Decline (SCD) related to Alzheimer's Disease""}]",350
1806,Grey matter volumes,"[{'article': 'PMC4506984.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': 'Predicting conversion to dementia in mild cognitive impairment subjects'}]",350
1807,Grip Strength,"[{'article': 'PMC4307822.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}]",435
1808,Grober–Buschke scale,"[{'article': 'PMC4406069.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Episodic memory in Alzheimer's Disease""}]",16
1809,Growth associated protein 43,"[{'article': 'PMC6182869.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease""}]",199
1810,Guanfacine,"[{'article': 'PMC9340683.txt', 'relationship': 'GUIDES_TREATMENT_SELECTION', 'object': ""Treatment Selection: Alzheimer's Disease""}]",15
1811,Gut Microbiota,"[{'article': 'PMC6520689.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': ""Alzheimer's Disease""}]",353
1812,Gut hormones,"[{'article': 'PMC5445077.txt', 'relationship': 'RELATED_TREATMENT', 'object': ""Influence on Alzheimer's Disease processes""}]",126
1813,Gut microbiome,"[{'article': 'PMC9644639.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease pathology""}, {'article': 'PMC9644639.txt', 'relationship': 'IS_TARGET_OF_TREATMENT', 'object': ""Alzheimer's Disease modulation""}]",353
1814,Gut microbiome diversity,"[{'article': 'PMC8470960.txt', 'relationship': 'ASSOCIATED_WITH_BETTER_OUTCOME', 'object': ""Alzheimer's Disease""}]",353
1815,Gut microbiota,"[{'article': 'PMC4956742.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': ""Alzheimer's Disease""}, {'article': 'PMC8843023.txt', 'relationship': 'RELATED_TREATMENT', 'object': ""Therapeutic strategy for Alzheimer's Disease""}]",353
1816,Gut microbiota composition,"[{'article': 'PMC6796854.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease""}]",353
1817,HATA volume,"[{'article': 'PMC10127414.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]",6
1818,HDAC,"[{'article': 'PMC7698404.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]",451
